fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,284.8520284,35,304,52.3182452,11448,13,54905,3373399,433309,35194,193970,15453,208.16686,9869.680584,94831,104779,167981,226957,1244,393400,535997,66353,9609.195478,1853465,97,69.58,83.09,100,NA
2025-2026,Sep,34,JHARKHAND,3421,DHANBAD,2062782,280.8228591,31,139,5.7533028,17503,1,42129,1871358,156857,16044,259717,23215,120.96013,5381.914472,59369,67554,114076,157333,423,328872,424962,59632,5255.201039,991432,97,69.87,72.6,100,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,277.6128744,39,108,14.03295,3374,0,23129,931177,48289,5138,527541,69556,70.10697,2669.207156,23442,31454,53870,114302,354,104268,204552,26503,2585.067236,484278,98,49.18,47.9,100,NA
2025-2026,Sep,34,JHARKHAND,3414,PAKUR,2107116,280.7822441,34,48,141.9345444,5676,0,38978,1785686,39910,3265,574101,43923,120.56018,5276.383948,51870,54987,97435,123751,457,248995,312403,44654,5013.889223,925481,98,70.04,65.77,100,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,285.4371593,35,304,52.3182452,11404,13,54365,3356723,431072,35158,193145,15434,208.16686,9841.819883,94604,104516,167810,226722,1220,393385,535992,65769,9581.334778,1843665,97,69.66,83.11,100,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,284.372534,36,103,188.930861,2319,0,21350,1341086,115049,9408,19470,1117,47.159,4049.770103,36739,40188,66241,83911,469,163066,205159,23669,3813.680242,725437,94,82.21,70.06,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,286.7606724,39,193,44.7742774,7283,0,38027,2030540,196500,14879,1283896,103798,87.4798,5955.044236,51405,58956,98362,158123,945,182667,286179,45310,5822.790158,968336,97,68.23,71.54,100.01,NA
2025-2026,Sep,34,JHARKHAND,3405,PALAMU,4222979,279.7744007,31,559,50.2530823,10604,0,87393,3689589,806080,75859,274784,25939,309.69223,10682.47082,115625,138224,210874,292720,547,457552,615269,97997,10322.52551,1769135,96,67.03,76.89,100.05,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,278.0737881,34,147,295.6513535,9048,3,60113,2494715,55932,5526,1696745,154098,189.27671,7422.076567,71436,77563,151359,219721,884,380114,544513,69161,6937.148504,1198616,95,66.59,73.34,100.01,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.0161206,35,139,9.98172,9948,0,54064,3485144,269926,15098,606351,42963,97.32884,9831.424147,97067,107155,141008,186793,634,254410,325260,64012,9724.113587,1832573,97,79.3,77,100.01,NA
2025-2026,Sep,34,JHARKHAND,3413,SAHEBGANJ,1961556,285.901993,30,400,222.2753321,5152,4,42410,1870212,64410,6693,496741,46078,137.04742,5706.296134,60708,65727,124131,155141,274,370554,451609,47562,5346.973382,970477,94,59.26,57.57,100,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,284.8103948,36,103,218.317159,2364,0,21327,1355326,116425,9411,19741,1116,47.159,4125.585491,36858,40323,66279,83957,492,163097,205202,23691,3860.109332,734322,94,82,69.88,100,NA
2025-2026,Sep,34,JHARKHAND,3419,GIRIDIH,7707711,279.6621139,35,818,75.16251975,15138,9,91790,5983675,404004,33507,473133,35502,157.61192,16966.84643,168278,179984,298919,385587,1011,700785,915970,106928,16734.07199,3287513,97,73.3,77.37,100.01,NA
2025-2026,Sep,34,JHARKHAND,3423,RAMGARH,1549260,278.9717306,44,188,50.7982609,4826,22,23965,1585308,107574,8247,431005,28409,81.42504,4554.784463,35806,43885,64400,105758,1024,151875,237198,28791,4422.561163,839627,97,62.63,67.12,100,NA
2025-2026,Oct,34,JHARKHAND,3417,CHATRA,4509636,281.9302342,29,106,61.99358178,7712,1,56098,3208017,769333,55325,193863,11800,64.98138,9171.344802,109075,122110,174891,212576,494,302003,359081,63810,9044.369841,1688603,98,77.63,80.88,100.01,NA
2025-2026,Oct,34,JHARKHAND,3418,KODERMA,1519568,284.9560877,37,104,325.9985132,2684,0,21181,1424188,122579,9449,20877,1119,47.159,4431.467919,37513,41060,66617,84388,612,163408,205581,23865,4058.310406,774854,94,81.26,69.75,100,NA
2025-2026,Oct,34,JHARKHAND,3424,KHUNTI,1349232,284.9993402,43,138,324.4162495,3293,0,26900,1170152,50794,4348,783710,63670,79.42904,3738.770769,27153,32508,57446,92514,1877,155133,246372,30193,3334.925479,579738,98,78.78,79.35,100,NA
2025-2026,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1960328,280.6277428,33,193,426.6748832,3732,1,53008,1913298,85494,10654,608791,86114,121.89953,5917.819403,56520,69927,112482,212779,538,241155,425689,56740,5369.24499,994680,96,48.88,54.11,100,NA
2025-2026,Sep,34,JHARKHAND,3414,PAKUR,2107116,281.4388249,36,48,676.7435768,6298,0,40013,1989183,45667,3314,647420,44517,98.85147,6373.928308,54475,57787,98646,125216,643,249956,313462,46311,5598.333261,1045508,98,68.53,64.29,100,NA
2025-2026,Sep,34,JHARKHAND,3415,GODDA,2805588,279.5208532,35,167,490.3532015,5753,5,55056,2453352,109966,9811,517374,40337,161.18167,7509.165314,69130,75571,130941,190787,226,328841,469292,60809,6857.630442,1345286,95,66.63,61.92,100.05,NA
2025-2026,Sep,34,JHARKHAND,3421,DHANBAD,2062782,281.1323551,32,144,75.8729424,18141,1,42047,1959865,166934,16169,270086,23321,120.96013,5706.647704,60623,69121,114706,158276,474,329002,425264,60188,5509.814632,1041652,97,68.68,70.87,100,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,284.8883242,43,138,324.4162495,3293,0,26899,1168947,50724,4343,782767,63680,79.42904,3734.038809,27146,32502,57446,92516,1870,155133,246372,30192,3330.193519,578985,98,78.78,79.35,100,NA
2025-2026,Oct,34,JHARKHAND,3405,PALAMU,4714681,280.6061473,33,587,186.8206444,11511,0,88760,3972233,866169,76478,299687,26223,309.69223,11642.84286,119375,143116,212654,295395,709,458810,617080,100271,11146.32998,1918859,96,65.35,74.76,100.06,NA
2025-2026,Oct,34,JHARKHAND,3408,WEST SINGHBHUM,2807782,278.1717949,36,151,781.1051904,10152,3,60342,2722570,61751,5591,1846792,155046,177.35511,8531.882136,73961,80460,152419,221118,1449,380717,545199,70494,7573.421835,1309103,95,66.5,73.12,100.01,NA
2025-2026,Oct,34,JHARKHAND,3412,JAMTARA,4149595,280.0219936,38,145,26.1808748,10776,0,54070,3867235,300848,15195,674189,43138,97.32884,10952.61826,99540,110100,141848,187852,957,254962,325906,64846,10829.10855,2039949,97,78.81,76.38,100.01,NA
2025-2026,Oct,34,JHARKHAND,3413,SAHEBGANJ,2189949,286.0784319,31,434,478.9786356,6116,4,42613,2007651,69303,6758,546602,46658,100.78018,6323.215314,62747,67965,125211,156469,338,370860,451960,48729,5743.456499,1042261,95,57.35,55.43,100,NA
2025-2026,Oct,34,JHARKHAND,3422,DEOGHAR,5044496,281.9756488,38,383,138.6871591,11559,0,51103,4507564,285530,24712,362962,28524,128.9168,12977.83679,115756,128552,195589,277494,2501,446743,642443,62662,12710.23283,2159420,96,51.41,74.84,100,NA
2025-2026,Oct,34,JHARKHAND,3423,RAMGARH,1729648,280.3972647,46,197,503.357034,5318,22,24046,1730347,116460,8324,468543,28741,81.42504,5436.627732,37591,45996,65401,107136,1224,152744,238306,29364,4851.845658,922479,98,61.64,66.7,100,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,279.8296201,33,254,68.2964786,19239,0,62712,5410357,586991,51063,569555,38131,237.52582,15445.60374,159926,194463,253172,360263,939,438903,609627,81951,15139.78144,2568737,95,78.38,81.55,100.02,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,284.2874793,37,326,84.9404014,13046,13,58851,3727190,478389,35650,213828,15566,208.16686,10889.04176,99508,110208,170035,229783,1855,394451,537065,71897,10595.9345,2058383,97,67.12,82.79,100,NA
2025-2026,Oct,34,JHARKHAND,3402,LOHARDAGA,1134754,279.0591995,43,120,101.809414,4151,0,22881,1099518,55826,5179,621405,70371,70.10697,3240.222513,25197,33921,54592,115728,686,104681,205335,27032,3068.306129,571691,98,49.85,49.05,100,NA
2025-2026,Oct,34,JHARKHAND,3403,GUMLA,2723324,266.8461356,39,202,180.2168646,4525,1,50851,2287818,86970,6857,1298002,121631,116.99346,6402.164246,58622,69628,113366,192772,1175,232001,383477,55376,6104.953922,1018686,96,78.25,81.24,100.01,NA
2025-2026,Oct,34,JHARKHAND,3404,SIMDEGA,2590324,286.9586206,43,201,217.1603507,8896,0,38227,2339274,226584,14999,1481384,104671,91.2472,7021.155953,53601,61669,99137,159280,1692,183432,287107,47123,6712.748402,1124084,97,66.83,72.16,100.01,NA
2025-2026,Oct,34,JHARKHAND,3416,HAZARIBAGH,4197089,284.5080713,39,339,196.9248916,14224,13,60745,4040715,521008,35955,228654,15645,250.33806,11943.42326,102814,114072,171596,231875,2396,395655,538475,74969,11496.16031,2237511,97,64.51,82.43,100,NA
2025-2026,Oct,34,JHARKHAND,3418,KODERMA,1519568,285.1174709,38,104,517.4012529,3012,0,20946,1470309,127284,9492,21656,1127,80.59175,4790.100838,38071,41714,66847,84706,696,163648,205885,23958,4192.107835,801780,94,80.75,69.22,100.01,NA
2025-2026,Oct,34,JHARKHAND,3419,GIRIDIH,8605157,279.4732676,38,841,955.1198649,19323,9,89152,6748653,456296,33912,536206,35862,238.50477,20054.3057,176313,188992,302248,389828,2093,703071,918614,108475,18860.68106,3722659,97,72.1,75.93,100.01,NA
2025-2026,Oct,34,JHARKHAND,3424,KHUNTI,1349232,282.9781083,44,142,395.602218,3435,0,26854,1236398,53828,4363,827890,63953,90.00286,3984.34075,27719,33213,57711,92926,2170,155421,246745,30289,3498.735672,613149,98,78.86,79.44,100,NA
2025-2026,Oct,34,JHARKHAND,3405,PALAMU,4714681,280.2516821,33,603,186.8206444,12122,0,89055,4083031,890868,76737,310146,26333,309.69223,11939.27593,120543,144644,213246,296331,771,459288,617745,101177,11442.76306,1977175,96,64.73,73.83,100.06,NA
2025-2026,Oct,34,JHARKHAND,3408,WEST SINGHBHUM,2807782,277.975955,37,153,940.7249587,10871,3,60303,2814340,63962,5610,1904878,155538,177.35511,8941.268561,74911,81546,152926,221819,1751,381039,545549,71174,7823.188493,1354395,95,66.76,73.25,100.01,NA
2025-2026,Oct,34,JHARKHAND,3417,CHATRA,4509636,282.186327,30,112,91.72743068,8338,1,56198,3339364,798096,55454,199604,11830,64.98138,9579.937429,110383,123624,175389,213178,662,302349,359525,64536,9423.228618,1765477,98,76.79,79.99,100.01,NA
2025-2026,Oct,34,JHARKHAND,3418,KODERMA,1519568,285.1349289,38,104,500.4693008,2944,0,20982,1465924,126990,9491,21608,1127,47.159,4727.489656,38018,41654,66847,84707,682,163618,205840,23926,4179.861355,798889,94,80.81,69.26,100.01,NA
2025-2026,Oct,34,JHARKHAND,3420,BOKARO,2923923,285.6466853,36,236,1301.528763,7172,13,50948,2393473,286849,28159,363417,35381,193.20366,8331.608712,65879,73792,140166,209132,722,400361,571993,58120,6836.876288,1354410,98,66.58,65.26,100,NA
2025-2026,Oct,34,JHARKHAND,3422,DEOGHAR,5044496,282.290052,39,386,172.7538932,12029,0,52148,4644164,294529,24788,372092,28573,150.75381,13433.52067,117113,130249,196040,278198,2769,447274,643119,64177,13110.01297,2229157,96,51.32,74.26,100,NA
2025-2026,Oct,34,JHARKHAND,3414,PAKUR,2352458,281.0257077,36,48,685.5237231,6565,0,39911,2024667,46988,3334,658834,44626,98.85147,6474.209958,54796,58129,98938,125581,666,249977,313485,46476,5689.834765,1066234,98,68.27,64.1,100,NA
2025-2026,Oct,34,JHARKHAND,3415,GODDA,3132256,279.4872912,35,167,490.3532015,5904,5,54961,2487948,111602,9804,531093,40445,161.18167,7605.033344,69367,75843,131053,190962,255,328861,469320,60865,6953.498472,1367222,95,66.29,61.41,100.05,NA
2025-2026,Oct,34,JHARKHAND,3418,KODERMA,1519568,285.0407349,38,104,367.4343038,2792,0,21161,1446783,124741,9493,21469,1120,47.159,4538.514199,37770,41357,66757,84574,665,163456,205646,23953,4123.920895,787396,94,81.07,69.52,100,NA
2025-2026,Oct,34,JHARKHAND,3419,GIRIDIH,8605157,279.6706411,37,841,497.0813394,17805,9,89565,6607089,446741,33836,525809,35809,149.4648,19124.6343,174885,187404,301679,389098,1728,702414,917867,107370,18478.08816,3641506,97,72.31,76.17,100,NA
2025-2026,Oct,34,JHARKHAND,3420,BOKARO,2923923,285.4922233,35,233,1150.603096,6436,13,51308,2350169,281439,28122,355642,35331,172.29017,8032.442995,65417,73224,139967,208853,693,400088,571669,57744,6709.549729,1329342,98,66.83,65.48,100,NA
2025-2026,Oct,34,JHARKHAND,3422,DEOGHAR,5044496,282.3926877,39,385,139.2478431,11794,0,51428,4583205,290740,24725,368084,28545,128.9168,13210.80043,116590,129605,195758,277772,2615,446794,642514,63222,12942.63578,2196927,96,51.32,74.5,100,NA
2025-2026,Oct,34,JHARKHAND,3423,RAMGARH,1729648,279.3696816,46,197,513.6607477,5381,22,24097,1762830,118459,8341,477990,28828,81.42504,5519.898346,37981,46463,65580,107386,1290,152809,238400,29478,4924.812558,939791,98,61.62,66.78,100,NA
2025-2026,Oct,34,JHARKHAND,3401,RANCHI,2641863,283.8381656,38,179,1327.193744,8503,5,55676,2770980,149522,12697,995794,103573,244.12766,9436.420204,71307,84064,152839,247146,1248,373088,559510,64179,7865.0988,1422441,97,67.29,66.63,100,NA
2025-2026,Oct,34,JHARKHAND,3402,LOHARDAGA,1134754,279.1322356,43,119,78.48933729,4099,0,22894,1081719,55243,5173,611635,70346,70.10697,3168.022735,25045,33705,54536,115635,624,104660,205283,26993,3019.426428,562494,98,49.68,48.8,100,NA
2025-2026,Oct,34,JHARKHAND,3403,GUMLA,2723324,267.8753315,38,201,153.4357114,4514,1,50737,2259575,85871,6853,1280764,121515,116.99346,6323.273193,58383,69322,113263,192617,1130,231889,383321,55251,6052.844022,1004967,96,78.41,81.39,100.01,NA
2025-2026,Oct,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,2188579,280.7900375,35,196,536.739815,4131,1,53343,2001581,88948,10676,634574,86240,121.89953,6278.879386,57172,70870,112742,213253,604,241290,425919,57474,5620.240041,1041437,96,47.83,52.93,100,NA
2025-2026,Oct,34,JHARKHAND,3413,SAHEBGANJ,2189949,285.8158012,32,443,573.3129231,6549,4,42448,2053793,71367,6778,564074,46874,105.00986,6548.387701,63347,68623,125597,156943,349,370972,452080,48997,5870.064918,1067211,95,56.78,54.67,100,NA
2025-2026,Oct,34,JHARKHAND,3414,PAKUR,2352458,281.2422733,37,48,714.9352268,6728,0,40124,2063702,47812,3337,671705,44665,98.85147,6617.789115,55135,58501,99027,125694,688,250140,313653,46852,5804.002418,1088992,98,68.22,63.79,100,NA
2025-2026,Oct,34,JHARKHAND,3416,HAZARIBAGH,4197089,284.7158066,38,335,88.5291014,14007,13,60276,3977370,512698,35883,224828,15617,208.16686,11620.89704,102260,113435,171346,231543,2223,395420,538199,74283,11324.20108,2201968,97,64.89,82.49,100,NA
2025-2026,Oct,34,JHARKHAND,3417,CHATRA,4509636,282.1224158,30,112,89.27537298,8299,1,56202,3332053,796273,55446,199217,11813,64.98138,9554.725171,110322,123558,175361,213150,651,302286,359458,64501,9400.468418,1760861,98,76.86,80.06,100.01,NA
2025-2026,Oct,34,JHARKHAND,3404,SIMDEGA,2590324,287.0175523,43,201,211.309186,8892,0,38199,2327812,225506,14991,1473564,104630,91.2472,6983.78541,53507,61557,99088,159210,1664,183386,287057,47091,6681.229024,1118440,97,66.88,72.11,100.01,NA
2025-2026,Oct,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,2188579,280.5531953,35,196,548.4729233,4189,1,53383,2013730,89652,10679,637843,86201,135.73834,6333.795124,57251,70985,112749,213239,614,241283,425876,57572,5649.583861,1047775,96,47.66,52.74,100,NA
2025-2026,Oct,34,JHARKHAND,3414,PAKUR,2352458,280.7002776,37,48,715.3949084,6815,0,40179,2076887,48262,3350,676735,44703,118.88322,6664.105703,55199,58570,99097,125780,695,250288,313807,46994,5829.827575,1096598,98,68.12,63.71,100,NA
2025-2026,Oct,34,JHARKHAND,3418,KODERMA,1519568,285.0813263,38,104,509.2054261,2987,0,20943,1468154,127176,9494,21656,1127,73.213,4767.851321,38040,41679,66848,84706,684,163634,205858,23930,4185.432895,800447,94,80.78,69.24,100.01,NA
2025-2026,Oct,34,JHARKHAND,3421,DHANBAD,2302962,280.9141824,32,145,95.3652354,18531,1,42320,2002934,171410,16219,275988,23389,163.91928,5885.810185,61111,69722,115004,158725,519,329246,425665,60851,5626.525669,1067354,97,67.89,70.42,100,NA
2025-2026,Oct,34,JHARKHAND,3424,KHUNTI,1349232,281.3925054,44,143,392.843068,3430,0,26860,1235051,53757,4360,827251,63962,87.84818,3956.0322,27724,33222,57709,92923,2170,155336,246646,30290,3475.340952,612404,98,78.86,79.44,100,NA
2025-2026,Oct,34,JHARKHAND,3402,LOHARDAGA,1134754,279.0846222,43,121,127.4327867,4200,0,22883,1109707,56217,5185,627270,70418,75.0822,3299.536576,25289,34054,54629,115820,710,104708,205409,27083,3097.021589,577379,98,50.02,49.23,100,NA
2025-2026,Oct,34,JHARKHAND,3414,PAKUR,2352458,280.6316897,37,48,739.0390606,6882,0,40286,2095579,48697,3351,683563,44753,134.59222,6754.490037,55377,58767,99183,125871,704,250455,313995,47168,5880.858756,1107646,98,68.1,63.71,100,NA
2025-2026,Oct,34,JHARKHAND,3419,GIRIDIH,8605157,279.7383628,38,840,1061.800044,19415,9,89119,6772221,458131,33922,538609,35850,281.01408,20287.31428,176529,189225,302367,389963,2115,703224,918783,108534,18944.50015,3735176,97,72.11,75.93,100.01,NA
2025-2026,Oct,34,JHARKHAND,3402,LOHARDAGA,1134754,278.5944913,42,117,60.64502471,3986,0,22926,1053416,53770,5168,596217,70212,70.10697,3065.510942,24771,33326,54430,115428,560,104565,205115,26912,2934.758947,547514,98,49.75,48.8,100,NA
2025-2026,Oct,34,JHARKHAND,3406,LATEHAR,4124984,278.8340566,40,668,72.6849173,15629,0,53858,4203602,589801,24783,1229128,58548,74.20898,11867.96788,103111,112948,142282,174269,1604,222932,270285,69487,11721.07398,2052151,98,38.29,85.32,100.01,NA
2025-2026,Oct,34,JHARKHAND,3418,KODERMA,1519568,284.3243915,38,104,357.2886488,2767,0,21167,1443846,124310,9481,21390,1122,47.159,4509.654003,37728,41315,66743,84563,665,163436,205623,23934,4105.206354,785670,94,81.1,69.5,100,NA
2025-2026,Oct,34,JHARKHAND,3423,RAMGARH,1729648,279.8434802,46,197,510.3786891,5321,22,24097,1752342,118038,8342,474632,28851,81.42504,5495.618567,37848,46302,65602,107405,1278,152801,238380,29418,4903.814838,933592,98,61.59,66.76,100,NA
2025-2026,Oct,34,JHARKHAND,3424,KHUNTI,1349232,283.1539435,43,142,324.4162495,3331,0,26874,1189500,51559,4351,796604,63806,79.42904,3771.961447,27413,32836,57596,92720,1966,155170,246426,30205,3368.116158,589524,98,78.83,79.39,100,NA
2025-2026,Oct,34,JHARKHAND,3401,RANCHI,2641863,283.4763841,40,182,1490.785938,8678,5,55953,2903524,157215,12728,1040572,103879,268.45805,9990.048836,72299,85328,153365,247929,1406,373595,560221,64631,8230.804848,1493351,97,66.97,66.32,100,NA
2025-2026,Oct,34,JHARKHAND,3404,SIMDEGA,2590324,286.8215824,44,204,247.9277979,9214,0,38282,2441055,236327,15031,1544799,104924,141.68861,7391.088987,54276,62482,99381,159621,2041,183631,287321,47496,7001.472579,1172974,97,66.54,72.49,100.01,NA
2025-2026,Oct,34,JHARKHAND,3406,LATEHAR,4124984,278.229256,43,681,72.6849173,18627,0,52155,4555731,639585,24935,1341276,58998,106.0691,12854.13048,105601,115756,143404,175498,2738,223836,271228,70782,12675.37647,2233692,98,39.01,85.04,100.01,NA
2025-2026,Oct,34,JHARKHAND,3410,EAST SINGHBUM,2133834,282.7476375,35,164,1155.063017,7801,34,51501,1927734,87135,9379,792781,100999,216.26611,6821.951469,54215,63342,112386,214559,756,290300,510832,59302,5450.622342,1136837,96,54.87,62.51,100.01,NA
2025-2026,Oct,34,JHARKHAND,3415,GODDA,3132256,279.5446086,37,169,859.8157198,6434,5,54760,2613020,117454,9834,562385,40608,218.33109,8382.703342,70389,77034,131465,191548,401,329120,469651,61194,7304.556533,1445952,95,65.69,60.83,100.05,NA
2025-2026,Oct,34,JHARKHAND,3422,DEOGHAR,5044496,281.5301003,40,397,241.4499923,12637,0,52619,4832389,307256,24951,385173,28691,189.48556,14035.56515,119142,132651,197069,279698,3167,447809,643892,65256,13604.6296,2324776,96,51.25,73.61,100,NA
2025-2026,Oct,34,JHARKHAND,3423,RAMGARH,1729648,280.4230316,48,200,834.6005764,6106,22,24107,1878507,125791,8415,509146,29013,119.31059,6221.677445,39087,47821,66186,108260,1625,153791,239768,30213,5267.766278,1005084,98,61.52,66.64,100,NA
2025-2026,Oct,34,JHARKHAND,3404,SIMDEGA,2590324,287.1483416,44,203,243.3012402,9078,0,38271,2396219,231956,15028,1517808,104806,138.1364,7262.140759,53937,62082,99281,159473,1896,183550,287239,47349,6880.703119,1151577,97,66.65,72.37,100.01,NA
2025-2026,Oct,34,JHARKHAND,3407,GARHWA,8300137,280.0479876,34,260,276.3017008,20013,0,62786,5546442,606557,51186,587464,38246,367.64328,16176.64419,161377,196450,253613,360953,1054,439177,610059,82799,15532.69921,2636313,95,77.45,80.53,100.02,NA
2025-2026,Oct,34,JHARKHAND,3412,JAMTARA,4149595,279.8591725,40,146,152.1799863,11977,0,53911,4135733,321200,15267,719886,43292,109.42764,11835.83578,101307,112197,142543,188684,1277,255436,326439,65888,11574.22815,2188973,97,78.62,76,100.01,NA
2025-2026,Oct,34,JHARKHAND,3422,DEOGHAR,5044496,282.1981951,40,391,211.0737704,12389,0,52571,4738230,300634,24897,378559,28620,183.52428,13765.79759,118005,131315,196647,279119,2980,447662,643675,64960,13371.19954,2277342,96,51.32,73.9,100,NA
2025-2026,Oct,34,JHARKHAND,3411,DUMKA,4557523,280.179896,43,157,385.5451005,8857,0,45701,4136064,222025,11950,1019172,67961,247.57664,12221.54156,96185,103712,157040,217765,2126,352573,495388,54558,11588.41981,2045332,96,70.76,78.53,100,NA
2025-2026,Oct,34,JHARKHAND,3413,SAHEBGANJ,2189949,285.656171,33,447,686.1757441,6956,4,42692,2114334,72889,6797,586441,47004,145.25292,6871.154211,64031,69382,125913,157312,370,371198,452350,49648,6039.725547,1098338,95,56.25,53.82,100,NA
2025-2026,Oct,34,JHARKHAND,3414,PAKUR,2352458,280.6910239,38,49,765.7446854,6963,0,40503,2132533,49810,3361,695110,44882,134.59222,6886.165619,55686,59106,99476,126230,713,250631,314192,47466,5985.828714,1128702,98,67.97,63.6,100,NA
2025-2026,Oct,34,JHARKHAND,3417,CHATRA,4509636,281.594856,30,113,121.9924169,8699,1,56368,3433763,818143,55555,205715,11879,69.35867,9860.651064,111221,124636,175731,213616,738,302604,359832,65067,9669.299977,1820517,98,76.4,79.56,100.01,NA
2025-2026,Oct,34,JHARKHAND,3422,DEOGHAR,5044496,282.0921702,40,391,224.9818575,12509,0,52541,4748799,301174,24963,379265,28645,183.52428,13804.4963,118124,131460,196923,279551,2999,447750,643802,65050,13395.99016,2282558,96,51.31,73.84,100,NA
